"year","school","theme","lyrics","score"
1991,"Lins Imperial","Chico Mendes, o arauto da natureza","Quanta maldade é ver
O homem destruir
O que hoje encanta
A Sapucaí
 
Amazônia
Que verde encantador
Fauna tão linda
Um verdadeiro festival de cor
 
Terra rica em frutos e pesca
Chico foi o mensageiro
Em defesa da floresta
 
Os invasores, por ambição
Mataram Chico
Dando seqüência à destruição
 
Kararaô
O grito forte do índio ecoou
Kararaô
A natureza inteira despertou
 
Voa pássaro da paz
Voa livre e vai mostrar (mostrar, mostrar)
Que essa área verde existe
Para o mundo respirar, lá, lá, laiá
Para o mundo respirar","lowest"
1991,"Império Serrano","É por aí que eu vou","É dia, é noite, sol ou chuva lá vou eu
Céu estrelado ou nublado tanta faz
Pouco me importo com frio ou calor
Viajando ""É por aí que eu vou""
Esperando um futuro bem melhor
Na fé do meu protetor
 
É chão, poeira e estrada, vou embora
Transportando o progresso por aí
Moça bonita por mim não chore
Eu te prometo que um dia volto aqui
 
O clarão da lua cheia
Na boléia do meu caminhão
O retrato da família
A distância traz saudade
Que aperta o coração
Devagar também e pressa
Nunca ande na banguela
Meu irmão de profissão
 
Rodar, rodei, desbravando estradas
Novo mundo encontrei
Cidade grande que fascinação
Nos cabarés da vida há doce ilusão","lowest"
1991,"Acadêmicos do Grande Rio","Antes, durante e depois, o despertar do homem","De um raio de luz brilhou a vida
Gerando um paraíso sem igual
O homem primitivo não sabia
Desfrutar das regalias
Tecendo assim o irracional
E na ilusão do cavalgar
Guiado pelas mãos das ambições
Sufocando os direitos
Sem pudor com preconceitos
Construiu os seus brasões
Gafanhotos viram mísseis
Vírus bem alimentados
São os frutos da maldade
Pelo mundo espalhados
Da força fez a taça do poder
Galopando um horizonte irreal
Usando o vigor e a rebeldia
O que mais ele queria
A submissão universal
Ao perdurar as incertezas
Chora a Mãe Natureza
Uma sinfonia de amor
Despertando o sonhador
Pois o bem venceu o mal
Brindando nesta festa colorida
O florescer da nova vida
Sonhando com a paz universal
Gira baiana
Gira o Sol e gira a Lua
Gira o girar do tempo
E a Grande Rio continua","lowest"
1992,"Estácio de Sá","Paulicéia desvairada, 70 anos de modernismo no Brasil","Eu vi o arco-íris clarear
O céu da minha fantasia
No brilho da Estácio a desfilar
A brisa espalha no ar
Um buquê de poesia
Na Paulicéia desvairada, lá vou eu
Fazer poemas e cantar minha emoção
Quero a arte pro meu povo
Ser feliz de novo
E flutuar nas asas da ilusão
Me dê, me dá, me dá, me dê
Onde você for, eu vou com você
Lá vem o trem do caipira
Prum dia novo encontrar
Pela terra, corta o mar
Na passarela a girar
Músicos, atores, escultores
Pintores, poetas e compositores
Expoentes de um grande país
Mostraram ao mundo o perfil do brasileiro
Malandro, bonito, sagaz e maneiro
Que canta e dança, pinta e borda e é feliz
E assim transformaram os conceitos sociais
E resgataram pra nossa cultura
A beleza do folclore
E a riqueza do barroco nacional
Modernismo, movimento cultural
No país da Tropicália
Tudo acaba em carnaval","highest"
1992,"Mocidade Independente de Padre Miguel","Sonhar não custa nada, ou quase nada","Sonhar não custa nada
E o meu sonho é tão real
Mergulhei nessa magia
Era tudo que eu queria
Para esse carnaval
Deixa a sua mente vagar
Não custa nada sonhar
Viajar nos braços do infinito
Onde tudo é mais bonito
Nesse mundo de ilusão
Transformar o sonho em realidade
E sonhar com a Mocidade
É sonhar com o pé no chão
 
Estrela de luz
Que me conduz
Estrela que me faz sonhar
 
Ai, amor
Amor, sonhe com os anjos
Não se paga pra sonhar
Eu sou a noite mais bela
Que encanta o seu sonho
Te alucina por te amar
Vem nas estrelas do céu
Vem na lua-de-mel
Vem me querer
 
Delírio sensual
Arco-íris de prazer
Amor, eu vou te anoitecer
 
Eu vejo a lua no céu
A Mocidade sorrir
De verde e branco, na Sapucaí","highest"
1992,"Imperatriz Leopoldinense","Não existe pecado do lado de baixo do equador","Vai, 
Singrando os mares
Fazer o teu rei feliz
Em busca de novos ares
Navega a Imperatriz
E, dessa viagem bela,
Uma aquarela
Vai desfilar
Éden, visão do paraíso
Emoção, sorriso
É o fruto da paixão
O clima tempera a alma
Os rios, o verde, a fauna
Fascínio de um imenso amor
Beleza divina, fonte que irradia
Abaixo do Equador
 
O canto do índio ecoou (ê ô ê ô)
Vem do ar, vem do ar
E livre a floresta se encantou
Eh! Mirá!
 
Para proteger a vida
Vêm os seres te abraçar
Sereia, mãe-d’água, saci, boitatá,
Guerreiras a cavalgar
Papagaio vira anjo
Para o mundo perceber
 
E eis a chama
Que vai fazer
Toda a paz na terra renascer
 
E um dia hei de vencer...","highest"
1992,"Acadêmicos do Salgueiro","O negro que virou ouro nas terras do Salgueiro","História, beirando a poesia 
Lenda, sonho e fantasia 
Abissínia, Arábia 
A natureza é tão sábia 
Num quê de malícia
Trouxe essa delícia ao Pará 
Dizem então (dizem então) 
Que foi a terra, o sol, este luar 
Que o fez se apaixonar por esse chão 
E se espalhar como um mar 
Da cor da raça
Cheiro de sabor (sabor)
Gostoso como um beijo do amor
O ciclo do café era a riqueza
Fausto e luxo da nobreza
E suor da escravidão
Sonso, vira rico e rotina
Filosofia de esquina
Cafezinho no balcão
Tem até quem admite
Que ele dá bom palpite
Na loteria popular
Cadê o bom café, foi viajar
Onde andará... eu sei lá
Soca no pilão
Preto velho mandingueiro
O negro que virou ouro
Lá nas terras do Salgueiro","highest"
1992,"Portela","Todo o azul que o azul tem","Encontrei no pavilhão da minha escola
A beleza mais notória pro meu visual
Tá nas cores da bandeira do meu país
Tá no espaço sideral
Não esquente a cabeça 
Tá tudo azul, tudo legal
 
Olha nós aí de novo
Com a Portela azulando o seu astral
 
É dos deuses, é divinal
Vem da Pérsia tradicional
 
Quero a alegria de um azulão
Sobrevoando o lindo azul do mar
Dei bilhete azul para a tristeza
Amor vem comigo sambar
Oh!  Estrela, soberana triunfal
Cor de pedra preciosa
Traz a nobreza para o carnaval
 
Que saudade, que felicidade
Novamente encontrar
Eu sou o rio que passou em sua vida
Tem corações se deixando levar","highest"
1992,"Estação Primeira de Mangueira","Se todos fossem iguais a você -Tom Jobim","Mangueira vai deixar saudade
Quando o carnaval chegar ao fim
Quero me perder na fantasia
Que invade os poemas de Jobim
Amanheceu ...
O Rio canta de alegria
Aconteceu ...
A mais linda sinfonia
O sol já despontou na serra
Doirando o seu corpo sedutor
O mar beija a garota de Ipanema
A musa de um sonhador
 
É carnaval
É a doce ilusão
É promessa de vida no meu coração
 
Vem ...  Vem amar a liberdade
Vem cantar e sorrir
Ver um mundo melhor
Vem, meu coração está em festa
Eu sou a Mangueira em ""Tom"" maior
Salve o samba de terreiro
Salve o Rio de Janeiro
Seus recantos naturais
 
Se todos fossem iguais a você
Que maravilha seria viver","highest"
1992,"Beija-Flor de Nilópolis","Há um ponto de luz na imensidão","Um ponto de luz surgiu, oi
Na magia da invenção
Descortinando o infinito
Preto e branco ou colorido
É imagem na televisão
Eh ! Baila
Baila, cristalino, irreal
O poder da criação
Trazendo encantos e culturas
Na simplicidade de um botão
Que rei sou eu
Que rei sou eu
Ô, ô, ô, ô
Que rei sou eu
Que rei eu sou
Vivendo neste mundo de esplendor
Revivendo, ô, as belezas naturais
O céu, a terra, o mar
E no lindo pantanal
A lenda diz que a mulher
Vira um belo animal
A cada ponto é uma arte que reluz
É o teu futuro que me seduz
Clareando humanidades será a guia
Criatura iluminada eu serei
Enriquecido de sabedoria, olê
Olê, lê, ô, vamos cantar
É TV anunciando
A Beija-Flor está no ar","highest"
1992,"Unidos da Tijuca","Guanabaram, o seio do mar","Hoje, o Borel em aquarela
Põe na passarela um pedaço de mar
(de mar, de mar)
Santuário de beleza
O Guanabaram que Tupã divinou
Então, eu mergulhei em tuas águas
E me encantei para te decantar ... decantar
Diz a lenda que bem antes
Outros bravos navegantes o teu solo cobiçou
Veio de lá ... de Portugal
A realeza em ti desembarcou
 
Maré que vem ... maré que vai
Mantendo um sonho que não se desfaz
 
Um cenário de beleza que virou cartão postal
Mãe da história do cinema nacional
Divina, teus milênios em poesia
Em teu seio reluziam os cassinos imortais
A vedete irreverente fez um mundo diferente
Na famosa Ilha do Sol ... o mais que legal ...
Tuas águas cristalinas bem combinam com a magia
Do teu clima tropical
Te quero mais verde sem poluição
Se liga neste canto de oração
 
E no balanço desse mar, amor
Que eu vou, vou navegar
Vou na proa, vou na boa
Pra Ilha de Páqueta)","highest"
1992,"Unidos do Viradouro","E a magia da sorte chegou","Uma estrela brilhou
Brilhou, brilhou, brilhou
Tão cintilante e os magos iluminou
Será o novo sol do amanhã
O arco-íris da aliança que não se apagará
Vem do Oriente com sua arte de criar
Na palma da mão lê a sorte
Com a magia do seu olhar
Chegando ao velho continente
A marca da desilusão
Castigo, degredo, açoite
Porque tanta discriminação?
 
A cada passo, a poeira levanta do chão
Ferreiro, feiticeiro, bandoleiro
A liberdade é sua religião
 
E vem chegando o dono desse chão
No berço, a mão do menino
Abriu-se ao destino, eis a nova Canaã
Ê, ê, cigano, bandeirante em busca de cristais
Canta, dança, representa
Dá vida a nossos laços culturais
Cigano-rei, mineiro iluminado
O mundo não vai esquecer
Plantou no solo brasileiro
A realização do amanhecer
É uma nova era, ô, ô, a magia da sorte chegou
 
O sol brilhará, surge a estrela guia
E sob a proteção da lua
Canta a Viradouro, que a sorte é sua","highest"
1992,"União da Ilha do Governador","Sou mais minha Ilha","Viajando mundo afora
Lá vou eu ...
A desfrutar dessa sorte
Que a vida me deu
De realizar o sonho meu
Ao passar nas ilhas me encantei
Ao ver o que jamais imaginei
Neblina londrina, a guarda real
Que me fez lembra meu carnaval
 
Nesse mar que me leva, amor
Pra Madagascar, eu vou
 
A arte milenar me fascinou
A mais rica fauna conheci
Nessa viagem de encantos e magia
Eu tirei onda no Havaí
Depois de ver as outras maravilhas
Estou de volta ao meu Brasil 
Da Ilha de Marajó naveguei
Ao paraíso natural
Vitória de natureza tão bela
Que saudade!
Vou rever minha aquarela
 
Sou mais minha Ilha
Tu és meu amor!
Em ti me planto
Ilha do Governador","highest"
1992,"Caprichosos de Pilares","Brasil feito a mão... Do barro ao carnaval","Vem de Marajó, dos Aruãs
Dos Carajás, de mãos mineiras
Do barro vem o pão
Vida, formas... Criação
Tá no chão, tá por aí...
E vem brilhar nessa avenida
Sou caprichoso, sou amor
Levando a arte, eu vou
Pra feira da ilusão da vida
Tranço a palha do mato
O que vier eu traço
Deste chão
Talho, corto, arremato
Rendo, bordo e dou laço
Na solidão...
Vem ver, vem ver, vem ver, vem ver
A fonte desta inspiração
Sonhar... que a fé
Vai conduzindo nossas mãos
De Vitalino, Aleijadinho, a lição!
Das pedras brotam poesias
Da madeira, carrancas... sedução!
E assim, vai Brasil, vem Brasil
De cada barracão
Um colorida de alegria
E o carnaval
Todo feito à mão
Que batuque gostoso
Uma axé bem formoso
Salve a Bahia
Ouro e prata adornando
Couro e lata marcando
Esta magia","highest"
1992,"Unidos de Vila Isabel","A Vila vê o ôvo e põe às claras","Vila Isabel, neste mar de amor
Veleja nas ondas
Que o passado nos soprou
Quando as três embarcações
Nas Américas surgiram
 
Outras civilizações
A estas terras já tinham chegado
 
Negros africanos do império da mandinga
Já navegavam os sete mares
Há provas no solo mexicano
Cabeças de negros moldadas em pedra
Antes de Colombo
Movidos pela ambição
Os europeus chegaram ao continente novo
 
Que ainda é
A galinha dos ovos de ouro
 
A flora devastaram
Poluíram rios e mares
Agredindo a ecologia
E a paz que bailava nos ares
Índios foram dizimados
Mas aos negros revoltados
Outros se irmanaram
Assim resistiram
E o Brasil nasceu cafuzo
De Oxalá e Tupã
Na mata tem mironga, eu quero ver
 
As ervas que servem pro bem e o mal
Do maracatu ao nosso carnaval
 
Erês, curumins, quilombolas
A Vila vê o ovo e põe as claras 
Verdade não contada na escola","lowest"
1992,"Leão de Nova Iguaçu","O Leão na selva de ilusões de Janete Clair","Brilhou 
Sob o clarão da lua
Ao som de um cantar
Oh! Musa inspiradora
 
Oh! Divina flor mulher
No universo de sonho e fantasias
Nasceu o mundo de Janete Clair
 
Hoje és o astro da folia
Nesse palco de desejos e emoções
Quero reviver seu dia-a-dia
Na selva de pedra de ilusões
Coragem, irmãos!
A terra arde pelo avanço
E a natureza perde o encanto
Na sede louca da ambição
 
Amor, amor, amor
Só você é quem constrói
A razão da minha vida
É a paixão, meu pai herói
 
Lá vou eu
No reino das emoções
Das esfinges sou o rei
De uma imaginação
 
Eu prometo
Sua arte vai continuar
E na selva de ilusões
Uma estrela vem brilhar","highest"
1992,"Tradição","O espetáculo maior... As flores","Hoje o meu coração se encanta
Tradição se agiganta para decantar
Essa apoteose de beleza, obra da mãe natureza
Gerou no fundo do mar
Um mistério em maravilhas sem igual
Faz a primavera multicor
Exala sensibilidade em todo o seu esplendor
Enaltece a paisagem, é a razão dos meus ais
Uma sensação de liberdade, devia ser o símbolo da paz
 
Voa, voa, colibri, lado a lado, flor em flor
Mas deixe um pouco pra mim desse néctar do amor
Voa perto da alegria, rumo à felicidade
Vou buscar quem mora longe pra matar minha saudade
 
É tempo de começar a refletir
A mão que pode destruir
Também serve pra plantar
Pois as flores dão a vida mais encanto
Enfeitando os quatro cantos desse reino de Oxalá
Inspiração para canções e poesias
É um gesto carinhoso e ameniza qualquer dor
Uma das sete maravilhas desse mundo
Sentimento mais profundo que ao éden perfumou
 
Odoyá, Iemanjá, trago oferendas para lhe presentear
Abençoe o meu sonho mais sonhado
E minhas flores para o seu lindo reinado","highest"
1992,"Acadêmicos de Santa Cruz","De quatro em quatro eu chego lá","Vem de lá 
Da pré-história 
Esse quatro milenar 
Água, fogo, terra e ar 
De quatro em quatro eu chego lá 
Engatinhou no Egito 
Trazendo esfinge para o nosso carnaval 
Lá vou eu sou menino 
No destino desse caminhar 
O mundo tá (tá, tá) 
Tá no sufoco 
Tudo que tiver quatro
Dessa vida eu levo um pouco
 
Na luta entre o bem e o mal 
Eu já fiz a minha escolha 
Em quatro cantos caminhei 
Minha sorte tirei num trevo de quatro folhas 
Haja coração! 
Felicidade não escolhe estação 
Quatro fases tem a lua 
E a vida continua 
O naipe da carta revelou 
Vem amor saciar minha sede 
Nosso amor é segredo entre quatro paredes
Caiu de quatro iaiá na saideira 
Santa Cruz tá nessa festa que acaba quarta-feira","lowest"
1993,"Acadêmicos do Salgueiro","Peguei um Ita no Norte","Lá vou eu... 
Me levo pelo mar da sedução (sedução) 
Sou mais um aventureiro 
Rumo ao Rio de Janeiro 
Adeus Belém do Pará
Um dia eu volto, meu pai 
Não chore, pois vou sorrir 
Felicidade, o velho Ita vai partir! 
Oi, no balanço das ondas, eu vou
No mar eu jogo a saudade, amor
O tempo traz esperança e ansiedade, 
Vou navegando em busca da felicidade
Em cada porto que passo 
Eu vejo e retrato em fantasia
Cultura, folclore e hábitos 
Com isso refaço minha alegria 
Chego ao Rio de Janeiro 
Terra do samba, da mulata e futebol 
Vou vivendo o dia a dia 
Embalado na magia 
Do seu carnaval 
Explode coração
Na maior felicidade
É lindo meu Salgueiro
Contagiando e sacudindo esta cidade","highest"
1993,"Imperatriz Leopoldinense","Marquês que é marquês do sassarico é freguês","Vou passar mais uma vez
Na avenida da ilusão
Carnaval, alegria geral no meu coração
Vem de lá, da Corte Imperial (lá vem marquês)
O Marquês iluminado
Bicentenário
Palco do meu carnaval
Assim na Serração da Velha
Nasceu a semente que embalou a multidão
Baila, baila comigo, meu amor mascarado
No jogo da sedução
Oh, joga água amor limão de cera 
Oh, vale tudo nessa brincadeira
O luxo das Grandes Sociedades
Coloriu felicidade nos olhos do imperador
E hoje nessa folia
Tem na apoteose o seu esplendor
E como será, além do infinito
O sonho desse povo tão bonito
De verde e branco vem o marquês (ê ê)
Sassaricando, mostrando que é freguês
O samba é raça, é paixão, viver feliz
Desfilando na Imperatriz (eu vou)
Eu vou no sassarico, eu vou
Nessa que eu quero ir  
Balança Sapucaí","highest"
1993,"Beija-Flor de Nilópolis","Uni-duni-tê, a Beija-Flor escolheu: é você","Uni-duni-tê
Vem ver o sol no amanhecer
A Beija-Flor escolheu é você
Se a vida é uma volta na lembrança
Uma roda de esperança
Espalhando amor no ar,
Liberte de seu peito essa criança
Dê as mãos na contradança
Vamos juntos cirandar
Nosso pique-fantasia
Vai brincando pela rua
E o anoitecer do dia
Vê o sol beijando a lua
Vai, criança beija-flor
Voar no azul do infinito
Quem semeia paz e amor ...
Faz o mundo mais bonito
Se esta via fosse minha
Eu mandava ela brilhar
Com as cores do meu mundo de alegria
Só pro tempo não parar
Gira, meu mundo pião
De listras brancas e azuis
E vai bordando no chão
Um arco-íris de luz","highest"
1993,"Mocidade Independente de Padre Miguel","Marraio feridô sou rei","Vai começar
A Mocidade acende a chama da emoção
Lembrando a Grécia onde o jogo se tornou
Uma forma de competição
Iluminada pelos deuses 
A Mocidade vem jogar no carnaval
A sorte da estrela que nos guia
No pano verde desta minha fantasia
 
Já joguei muito com a vida
Já rodei igual pião
A sorte pode vir parar na minha mão
 
Vem me seduzir
Com seu jogo de olhar
 
É um jogo de prazer, sem medo de perder
É o gosto de arriscar
 
A vida é como um jogo de xadrez
Vem do começo da humanidade
Aqui se nasce jogando, perdendo ou ganhando
Em busca da felicidade
 
Rola bola, bola rola
Na vida sempre joguei
Se carambolar eu ganho
Feridô marraio sou rei","highest"
1993,"Estação Primeira de Mangueira","Dessa fruta eu como até o caroço","Da Índia a manga se originou ô ô
Floresceu como a poesia
E lá na África encantou
Pôs na boca um gosto de alegria
E foi a primeira vez que o colono português
No Brasil veio plantar
O fruto macio seduziu meu Rio
Chegou pra ficar...
Sente, oh! Linda lua
O aroma que flutua
E que me faz sonhar
 
Tem manga rosa
Eu vou provar
Cheiro e magia
Bailam no ar
 
Entre tantos tipos de mangueira
Há uma especial...
Na Estação Primeira
Ela simboliza o samba
É a união de gente bamba
Onde desabrocham tantas flores
E hoje linda... Te vejo mais bela...
Nessa passarela você explode coração
Mangueira... Estou tão feliz!
É verde-rosa, é verde-rosa é minha emoção!
 
Seja a fruta brasileira
Da Mangueira esse colosso
Dessa fruta eu como até o caroço","highest"
1993,"Estácio de Sá","A dança da lua","Clareou, clareou, clareou
A dança já vai começar, obá, obá
Clareou, clareou, clareou
A Estácio tem a lua como par
Ouvi contar
Dos índios carajás
Que nada existia, até Kananciuê criar
Na frágil luz da lua nova
Fez a terra e a flora, a fauna, o rio e o mar
O verdadeiro paraíso, Jardim do Éden
Ou quem sabe Shangrilá
E assim a lua dançou e se fez crescente
E revelou, e revelou, o reino das pedras verdes
Os Guaquaris e os sacis, cancão e a mãe da mata
Que protegiam as amazonas
Bravas guerreiras da nação Icamiabas
Bota fogo na fogueira, pra clarear
Caipora flamejante, não quer parar
Se vaga-lume mau ilumina, manda soltar
Aprisiona o urubu-rei, pra lua cheia libertar
Dragão lunar me conceda
O prazer de contemplar
Estas deusas que estão sobre sua proteção
Que a lua minguante não tarda a chegar
Quando vier, reduzirá a claridade
Trará consigo a maldade, o zodíaco dançará
As bruxas negras casarão com Satanás
Muita orgia e algo mais, um verdadeiro sabá
A deusa lua partiu
A lua negra chegou, na busca do amor
O preto e branco é colorido
Tudo é mais lindo no nosso interior","highest"
1993,"Unidos do Viradouro","Amor, sublime amor","Vou levantar minha bandeira
Amora sublime amor
Meu sonho vou realizar
Esse futuro o que será?
Vou apertar o botão do coração
E vencer a força da razão
Da paixão primitiva à natureza em flor
É, ninguém resiste aos encantos do amor
Nasceu na floresta
Um guerreiro, um artesão
Na fonte da vida
O dono da terra defende seu chão
Negra Xica eu te amo
 
Amor que renuncia, a corte zombou
Que divino exemplo, que lição de amor
 
Bandido o amor no sertão
Em Palmares o grito do rei
No sonho do herói inconfidente
Mesmo que tarde a liberdade
Na arte o amor do gênio mulato
No Guarani e Orfeu do carnaval
A colombina não foi embora
Hoje o pierrô não chora
 
Clareia mãe Oxum, clareia minha fé
Para as crianças a pureza
Do bem me quer, do mal me quer
A Viradouro clama em versos
Paz e amor no universo","highest"
1993,"Unidos de Vila Isabel","Gbala, viagem ao templo da criação","Meu Deus
O grande criador adoeceu
Porque
A sua geração já se perdeu
Quando acaba a criação
Desaparece o criador
Pra salvar a geração
Só esperança e muito amor
Então
Foram abertos os caminhos
E a inocência entrou
No templo da criação
Lá os guias protetores do planeta
Colocaram o futuro em suas mãos
E através dos Orixás se encontraram
Com o Deus dos Deuses, Olorum
E viram
Viram como foi criado o mundo
Se encantaram
Com a Mãe Natureza
Descobrindo o próprio corpo compreenderam
Que a função do homem é evoluir
Conheceram os valores
Do trabalho e do amor
E a importância da justiça
Sete águas revelaram em sete cores
Que a beleza é a missão de todo artista
Gbala é resgatar, salvar)  BIS
E a criança, esperança de Oxalá)","highest"
1993,"Acadêmicos do Grande Rio","No mundo da lua","Do mundo encantado de Jaci
Nessa aquarela a Grande Rio é a tela
Vem do céu...
Pra se refletir nesta folia
Oh! Doce fonte de inspiração
Influenciando no destino
Um toque na astrologia
No mistério e na magia
Ô luar, ô luar
Vem pratear a nossa rua
A semente da fartura semear
Virar o mundo de bumbum pra lua
Nos mares, cachoeiras e cascatas vem se banhar
Eu queria ser um astronauta pra te alcançar
Tu és a vida na beleza dessas matas
Tu és a sorte para quem acreditar em ser feliz
Quem me dera um dia no teu colo
Cantar, sorrir, sambar, brincar
E no encanto do seu mundo vai
Tornando tantas mentes aluadas
Como é gostoso se adoçar no mel
Em noites enluaradas
Salve Ogum D'Ylê
Na imaginação um guardião
É lindo ver a tua imagem
Encantando a multidão
Clareia Dindinha
Teu mundo taí
A festa é nossa hoje na Sapucaí","highest"
1993,"Portela","Cerimônia de casamento","Eu vou lhe convidar pro camarote
Quero lhe mostrar o dote
Desta doce união
Veja, arquibancada está em festa
Na mais sublime relação
Até que enfim encontrei
Alguém que gosta só de mim
E na verdade essa tal felicidade
Vai comigo até o fim
 
Me leva, amor
Sou Adão no paraíso
Me encantou a sedução do seu sorriso
 
É hora de emoldurar contos de fada
De conquistar a paz sonhada
E festejar no arraial
Eu sei que o amor conduz à eternidade
Da colorida amizade
A comunhão tradicional
Lá vou eu
Meu casamento é minha fé
Quero fazer bodas de ouro
E preservar a criação como Noé
 
É bom demais amar, amar, amar
Vou me acabar nesse véu
Vem Portela consagrar
Meu samba em lua de mel","highest"
1993,"União da Ilha do Governador","Os maiores espetáculos da terra","Alô, alô, chegou a hora
Brilhou no céu a luz da felicidade      
Sob o clarão da poesia
Cruzo o mar da alegria
E me abraço com a cidade
Laiá, laiá, laiá, laiá
Batam palmas que o palhaço vai passar
Vovô vai sorrir, criança brincar
É muito bom poder sonhar
Cigano a dançar à luz do luar
O show tem que continuar
A vida é um grande circo
É o chão da ilusão
Sou artista na avenida
Vou roubar seu coração
 
Senhoras e senhores, nossa atração principal
É o povo que está na corda bamba
Esperando a voz do samba pra brincar o carnaval
E vai desfilar ô ô ô
Em preto e branco mais um sonho colorido
Mostrando na telinha com emoção
Que o domador quando entra em ""Senna""
Não dá mole pro ""leão""
 
Compra que eu vendo alegria, meu amor
Sou a Ilha, dona dessa festa multicor","highest"
1993,"Unidos da Tijuca","Dança Brasil","Movimento milenar
Fez dançar terra e mar...
Uma flor brincou no vento
Tem poesia no ar...
Deixa o vento me levar
Que no tempo eu sei voltar
Canto no céu de Acauã
Que o meu reino é de Tupã
 
E lá na mata se tem lua cheia
Menina moça faz dançar a aldeia
 
Bailam no mar
Velas de deuses gigantes
Pra me ensinar
O saber dos navegantes
Negro chegou
Meu Brasil morenizou...
Forte, lutou pela sorte,
Cantou e dançou
Quando se libertou...
 
Canta Borel,
A tua raça
Hoje é cor de mel...
""Dança Brasil""
Teus acordes vem do céu","highest"
1993,"Caprichosos de Pilares","Não existe pecado do lado de cá do Túnel Rebouças","Vem pro lado de cá
Vem se acabar na minha aldeia
Vem do túnel pra cá
Pecado não há e nem areia
Sou suburbano
Sou caprichoso, assumido e orgulhoso
É isso aí, operário marmiteiro
E muambeiro lá de Acari
É de carona que eu vou
Nesse vai e vem
Tem surfista diferente
Tirando onda em cima do trem
Aqui ô ô, à sombra da tamarineira
Pagodes, risos, brincadeiras
A praça é criança pé no chão
E bate forte, bate norte o coração
Um velho fusca é minha curtição
Sou baloeiro, eu sou
Sou peladeiro, eu sou
Eu sou o Mengo no Maracanã
Bato macumba bem rezada na avenida
Pra ver minha escola campeã
Eu vou daqui pra lá
De frango e saravá
E no burguês farofafá","highest"
1993,"Unidos da Ponte","A face do disfarce","Eu hoje vou soltar a fantasia
Feiticeiro, palhaço e rei
E vou me revelar na alegria
Pra viver do jeito que sonhei
Hoje vou sambar de cara limpa
Como eu gosto e sempre quis
E vou desmascarar toda a tristeza
Só pelo prazer de ser feliz
 
Sai tristeza
Que eu vou passar
Viajar no tempo
Vou me encontrar...
 
Desfilando pela história
Magia, realidade, ilusão
Tantas faces do disfarce
Disfarçando a emoção
Na guerra ou na dança tribal
Nos mistérios do Oriente
No passado e no presente
Diferente e tão igual
São as máscaras da vida
Tudo acaba em carnaval
 
Deixa a máscara cair
Que eu quero você sorrindo
Bota fé no seu olhar
Que o amanhã será bem-vindo","lowest"
1994,"Imperatriz Leopoldinense","Catarina de Médicis na corte dos tupinambôs e tabajeres","Hoje, vou colorir toda cidade
De alma pintada eu vou
Sou da Corte, a fantasia
Trago um mundo novo de esplendor
A magia da floresta, levei
Enfeitando esta festa, cheguei
Puro na emoção
Simples na paixão
Sonho e poesia em Ruão
 
Mon amour, c'est si beau
Esse jogo, essa dança
Tabajet, tupinambaux
 
E lá nas margens do Sena
O Brasil, a imagem de nudez e coragem
Índios, marujos, enfim
Misturavam-se assim
Na mais rica paisagem
E a platéia no bis
Com a Imperatriz  a delirar
Na França o bom selvagem
Deu o tom de igualdade
Fraternité, liberté
 
Sou índio, sou forte
Sou filho da sorte
Sou natural
Sou guerreiro, sou a luz da liberdade
Carnaval","highest"
1994,"Acadêmicos do Salgueiro","Rio de lá pra cá","Meu Rio que é um rio de alegria 
Transborda de felicidade (e vem mostrar) 
Vem mostrar as tradições 
O jeitinho dessa gente e da coroa real 
Sua beleza, seus festejos e encantos 
Germinou nos quatro cantos 
Sementes de amor 
De lá pra cá o Rio se glorificou 
Virou mar de poesia
Bate forte coração
Sou carioca, salgueirense, sou povão
Rio, cidade maravilhosa
Já cantado em verso e prosa
Cartão postal do meu Brasil 
Rio, da mulata e do pagode 
Futebol e samba forte 
Como explode coração (tá na boca do povão)
Num abraço de envolver 
Rio, és razão do meu viver 
Balança, oi, balança
Chegou a hora do Salgueiro sacudir
Deixar esta cidade louca
Com água na boca na Sapucaí","highest"
1994,"Unidos do Viradouro","Tereza de Benguela, uma rainha negra no Pantanal","Amor, amor, amor
Sou a viola de cocho dolente
Vim da Pérsia, no Oriente
Para chegar ao Pantanal
Pela Mongólia eu passei
Atravessei a Europa medieval
Nos meus acordes vou contar
A saga de Tereza de Benguela
Uma rainha africana
Escravizada em Vila Bela
 
O ciclo do ouro iniciava
No cativeiro, sofrimento e agonia
A rebeldia acendeu a chama da liberdade
No quilombo o sonho de felicidade
 
Ilê ayê, ara ayê, ilú ayê
Um grito forte ecoou
A esperança no Quariterê
O negro abraçou
 
No seio de Mato Grosso a festança começava
Com o parlamento, a rainha negra governava
Índios, caboclos e mestiços, numa civilização
O sangue latino vem na miscigenação
A invasão gananciosa, um ideal aniquilava
A rainha enlouqueceu, foi sacrificada
Quando a maldição a opressão exterminou
No infinito uma estrela cintilou
 
Vai clarear, vai clarear
Um sol dourado de quimera
A luz de Tereza não apagará
E a Viradouro brilhará na nova era","highest"
